,ID,tank,trt,date,totno,nochiro,no_odo,totbio,biochiro,bio_odo,trt0f,date0f
104,401,16,2,6/28/2016,194,194,0,0.03813,0.03813,0.000000001,2,6/28/2016
111,469,17,1,6/28/2016,60,60,0,0.00957,0.00957,0.000000001,1,6/28/2016
118,477,18,2,6/28/2016,33,33,0,0.00698,0.00698,0.000000001,2,6/28/2016
131,412,20,3,6/28/2016,162,155,0,0.04931,0.02913,0.000000001,3,6/28/2016
138,410,21,2,6/28/2016,55,43,0,0.03454,0.01213,0.000000001,2,6/28/2016
145,440,22,4,6/28/2016,140,140,0,0.02547,0.02547,0.000000001,4,6/28/2016
152,422,23,3,6/28/2016,38,38,0,0.00851,0.00851,0.000000001,3,6/28/2016
159,458,24,4,6/28/2016,35,35,0,0.00409,0.00409,0.000000001,4,6/28/2016
3,76,1,1,7/4/2016,132,132,0,0.03103,0.03103,0.000000001,1,7/4/2016
9,81,2,2,7/4/2016,85,83,0,0.04656,0.04614,0.000000001,2,7/4/2016
16,63,3,3,7/4/2016,78,78,0,0.03836,0.03836,0.000000001,3,7/4/2016
23,129,4,1,7/4/2016,146,146,0,0.05088,0.05088,0.000000001,1,7/4/2016
30,108,5,3,7/4/2016,189,189,0,0.05643,0.05643,0.000000001,3,7/4/2016
36,54,6,1,7/4/2016,117,117,0,0.04065,0.04065,0.000000001,1,7/4/2016
43,57,7,2,7/4/2016,103,103,0,0.02958,0.02958,0.000000001,2,7/4/2016
50,113,8,3,7/4/2016,152,152,0,0.06528,0.06528,0.000000001,3,7/4/2016
57,34,9,4,7/4/2016,107,107,0,0.03765,0.03765,0.000000001,4,7/4/2016
64,61,10,4,7/4/2016,148,148,0,0.00472,0.00472,0.000000001,4,7/4/2016
71,50,11,1,7/4/2016,351,308,0,0.1637,0.10202,0.000000001,1,7/4/2016
78,64,12,3,7/4/2016,142,142,0,0.05322,0.05322,0.000000001,3,7/4/2016
85,69,13,2,7/4/2016,59,59,0,0.01436,0.01436,0.000000001,2,7/4/2016
92,44,14,4,7/4/2016,58,50,0,0.03105,0.01639,0.000000001,4,7/4/2016
98,102,15,4,7/4/2016,238,181,0,0.11129,0.05208,0.000000001,4,7/4/2016
105,120,16,2,7/4/2016,201,197,0,0.03498,0.03358,0.000000001,2,7/4/2016
112,40,17,1,7/4/2016,145,145,0,0.0342,0.0342,0.000000001,1,7/4/2016
119,33,18,2,7/4/2016,66,66,0,0.00859,0.00859,0.000000001,2,7/4/2016
125,89,19,1,7/4/2016,75,69,0,0.01691,0.0141,0.000000001,1,7/4/2016
132,126,20,3,7/4/2016,59,55,0,0.1624,0.01372,0.000000001,3,7/4/2016
139,93,21,2,7/4/2016,40,40,0,0.02047,0.02047,0.000000001,2,7/4/2016
146,72,22,4,7/4/2016,94,84,0,0.02697,0.02258,0.000000001,4,7/4/2016
153,96,23,3,7/4/2016,21,21,0,0.00136,0.00136,0.000000001,3,7/4/2016
160,100,24,4,7/4/2016,43,43,0,0.01534,0.01534,0.000000001,4,7/4/2016
4,548,1,1,7/12/2016,16,16,0,0.01119,0.01119,0.000000001,1,7/12/2016
10,517,2,2,7/12/2016,26,26,0,0.00733,0.00733,0.000000001,2,7/12/2016
17,561,3,3,7/12/2016,7,7,0,0.00421,0.00421,0.000000001,3,7/12/2016
24,565,4,1,7/12/2016,26,25,0,0.0119,0.0119,0.000000001,1,7/12/2016
31,554,5,3,7/12/2016,29,29,0,0.00953,0.00953,0.000000001,3,7/12/2016
37,537,6,1,7/12/2016,21,21,0,0.00593,0.00593,0.000000001,1,7/12/2016
44,481,7,2,7/12/2016,55,55,0,0.01554,0.01554,0.000000001,2,7/12/2016
51,533,8,3,7/12/2016,50,50,0,0.02822,0.02822,0.000000001,3,7/12/2016
58,522,9,4,7/12/2016,31,31,0,0.00708,0.00708,0.000000001,4,7/12/2016
65,506,10,4,7/12/2016,4,4,0,0.00175,0.00175,0.000000001,4,7/12/2016
72,570,11,1,7/12/2016,17,16,0,0.0061,0.00563,0.000000001,1,7/12/2016
79,513,12,3,7/12/2016,33,33,33,0.02863,0.02863,0.000000001,3,7/12/2016
86,550,13,2,7/12/2016,18,18,0,0.00451,0.00451,0.000000001,2,7/12/2016
93,487,14,4,7/12/2016,18,17,0,0.02463,0.02236,0.000000001,4,7/12/2016
99,489,15,4,7/12/2016,55,52,0,0.0116,0.00759,0.000000001,4,7/12/2016
106,540,16,2,7/12/2016,55,55,0,0.00623,0.00623,0.000000001,2,7/12/2016
113,528,17,1,7/12/2016,92,89,0,0.01808,0.01337,0.000000001,1,7/12/2016
120,500,18,2,7/12/2016,126,126,0,0.01084,0.01084,0.000000001,2,7/12/2016
126,505,19,1,7/12/2016,57,57,0,0.00973,0.00973,0.000000001,1,7/12/2016
133,558,20,3,7/12/2016,17,17,0,0.00637,0.00637,0.000000001,3,7/12/2016
140,492,21,2,7/12/2016,41,40,0,0.01092,0.01044,0.000000001,2,7/12/2016
147,541,22,4,7/12/2016,26,26,0,0.00233,0.00233,0.000000001,4,7/12/2016
154,555,23,3,7/12/2016,28,28,0,0.01453,0.01453,0.000000001,3,7/12/2016
161,511,24,4,7/12/2016,12,12,0,8.00E-04,8.00E-04,0.000000001,4,7/12/2016
5,230,1,1,7/18/2016,16,15,1,0.6805,0.00951,0.05854,1,7/18/2016
11,209,2,2,7/18/2016,12,9,0,0.00828,0.00628,0.000000001,2,7/18/2016
18,204,3,3,7/18/2016,23,23,0,0.00451,0.00451,0.000000001,3,7/18/2016
25,225,4,1,7/18/2016,5,4,0,0.00166,0.00119,0.000000001,1,7/18/2016
32,163,5,3,7/18/2016,46,45,0,0.01793,0.01793,0.000000001,3,7/18/2016
38,216,6,1,7/18/2016,2,2,0,0.001147,0.001147,0.000000001,1,7/18/2016
45,218,7,2,7/18/2016,61,58,2,0.12932,0.01356,0.11525,2,7/18/2016
52,166,8,3,7/18/2016,23,23,0,0.01433,0.01433,0.000000001,3,7/18/2016
59,154,9,4,7/18/2016,1,1,0,0.00072,0.00072,0.000000001,4,7/18/2016
66,132,10,4,7/18/2016,21,20,1,0.04099,0.00599,0.035,4,7/18/2016
73,149,11,1,7/18/2016,15,1,0,0.001969,0.001429,0.000000001,1,7/18/2016
80,189,12,3,7/18/2016,17,16,1,0.07099,0.00967,0.06132,3,7/18/2016
87,193,13,2,7/18/2016,12,6,6,0.41862,0.00134,0.41728,2,7/18/2016
100,139,15,4,7/18/2016,20,15,5,0.28467,0.00254,0.28213,4,7/18/2016
107,177,16,2,7/18/2016,13,12,1,0.06326,0.0022,0.06106,2,7/18/2016
114,134,17,1,7/18/2016,48,47,1,0.05738,0.0051,0.05228,1,7/18/2016
121,187,18,2,7/18/2016,20,17,3,0.17715,0.0035,0.17365,2,7/18/2016
127,171,19,1,7/18/2016,33,33,0,0.00607,0.00607,0.000000001,1,7/18/2016
134,198,20,3,7/18/2016,7,7,0,0.00287,0.00287,0.000000001,3,7/18/2016
141,180,21,2,7/18/2016,13,12,0,0.00254,0.00152,0.000000001,2,7/18/2016
148,160,22,4,7/18/2016,16,14,2,0.10635,0.00236,0.10399,4,7/18/2016
155,202,23,3,7/18/2016,45,41,0,0.01957,0.0124,0.000000001,3,7/18/2016
162,146,24,4,7/18/2016,10,10,0,0.00086,0.00086,0.000000001,4,7/18/2016
6,319,1,1,7/26/2016,23,20,1,0.07936,0.01001,0.06632,1,7/26/2016
12,300,2,2,7/26/2016,16,11,5,0.18644,0.01055,0.17589,2,7/26/2016
19,312,3,3,7/26/2016,33,25,3,0.18998,0.01843,0.16354,3,7/26/2016
26,285,4,1,7/26/2016,19,18,1,0.05056,0.01118,0.03938,1,7/26/2016
39,306,6,1,7/26/2016,42,42,0,0.00778,0.00778,0.000000001,1,7/26/2016
46,291,7,2,7/26/2016,15,13,2,0.07541,0.00252,0.07289,2,7/26/2016
53,334,8,3,7/26/2016,39,32,5,0.28786,0.01813,0.26585,3,7/26/2016
60,304,9,4,7/26/2016,12,9,0,0.00776,0.00419,0.000000001,4,7/26/2016
67,256,10,4,7/26/2016,16,13,2,0.11665,0.00231,0.11334,4,7/26/2016
74,281,11,1,7/26/2016,52,46,5,0.21089,0.02525,0.18504,1,7/26/2016
81,315,12,3,7/26/2016,39,28,10,0.47437,0.00501,0.46749,3,7/26/2016
88,294,13,2,7/26/2016,7,5,2,0.10683,0.00162,0.10521,2,7/26/2016
94,264,14,4,7/26/2016,13,8,4,0.17119,0.00511,0.16448,4,7/26/2016
101,235,15,4,7/26/2016,12,10,1,0.05979,0.00057,0.05805,4,7/26/2016
108,243,16,2,7/26/2016,24,23,1,0.05395,0.00224,0.05171,2,7/26/2016
115,237,17,1,7/26/2016,10,10,0,0.00039,0.00039,0.000000001,1,7/26/2016
122,242,18,2,7/26/2016,15,14,1,0.05656,0.00163,0.05493,2,7/26/2016
128,247,19,1,7/26/2016,24,20,4,0.17681,0.00295,0.17386,1,7/26/2016
135,251,20,3,7/26/2016,11,11,0,0.00289,0.00289,0.000000001,3,7/26/2016
142,271,21,2,7/26/2016,5,5,0,2.00E-04,2.00E-04,0.000000001,2,7/26/2016
149,326,22,4,7/26/2016,18,9,6,0.29535,0.00075,0.28939,4,7/26/2016
156,278,23,3,7/26/2016,19,16,3,0.16735,0.00267,0.16468,3,7/26/2016
163,272,24,4,7/26/2016,17,15,1,0.05046,0.00282,0.04608,4,7/26/2016
7,577,1,1,8/2/2016,66,61,4,0.28291,0.01781,0.26354,1,8/2/2016
13,605,2,2,8/2/2016,27,77,1,0.10973,0.04185,0.06055,2,8/2/2016
20,617,3,3,8/2/2016,26,23,2,0.12113,0.00718,0.11346,3,8/2/2016
27,638,4,1,8/2/2016,25,25,0,0.00854,0.00854,0.000000001,1,8/2/2016
33,24,5,3,8/2/2016,54,52,0,0.01588,0.01256,0.000000001,3,8/2/2016
40,646,6,1,8/2/2016,49,48,1,0.07964,0.00359,0.07605,1,8/2/2016
47,655,7,2,8/2/2016,36,30,2,0.11663,0.00766,0.10309,2,8/2/2016
54,12,8,3,8/2/2016,19,17,0,0.0064,0.00396,0.000000001,3,8/2/2016
61,625,9,4,8/2/2016,71,64,4,0.22963,0.01321,0.00571,4,8/2/2016
68,16,10,4,8/2/2016,57,56,0,0.01622,0.01488,0.000000001,4,8/2/2016
75,626,11,1,8/2/2016,93,69,0,0.01145,0.00952,0.000000001,1,8/2/2016
82,598,12,3,8/2/2016,185,183,0,0.02356,0.02007,0.000000001,3,8/2/2016
89,639,13,2,8/2/2016,30,25,1,0.05071,0.00561,0.03705,2,8/2/2016
95,606,14,4,8/2/2016,29,21,3,0.19028,0.01372,0.1635,4,8/2/2016
102,659,15,4,8/2/2016,54,46,0,0.01186,0.00291,0.000000001,4,8/2/2016
109,1,16,2,8/2/2016,126,124,2,0.11534,0.00661,0.10873,2,8/2/2016
116,28,17,1,8/2/2016,149,136,0,0.03067,0.00941,0.000000001,1,8/2/2016
123,634,18,2,8/2/2016,32,31,1,0.0496,0.00262,0.04698,2,8/2/2016
129,585,19,1,8/2/2016,31,29,2,0.12395,0.01348,0.11047,1,8/2/2016
136,583,20,3,8/2/2016,28,23,2,0.08683,0.00991,0.0699,3,8/2/2016
143,591,21,2,8/2/2016,25,20,2,0.12795,0.00256,0.11841,2,8/2/2016
150,665,22,4,8/2/2016,5,2,2,0.13467,0.00053,0.1325,4,8/2/2016
157,10,23,3,8/2/2016,19,16,2,0.10054,0.00175,0.09817,3,8/2/2016
164,668,24,4,8/2/2016,11,11,0,0.00227,0.00227,0.000000001,4,8/2/2016
